image_id,image_path,annotation_index,category,is_valid_bbox,bbox_x,bbox_y,bbox_w,bbox_h,bbox_area,mask_area,is_tiny_defect,is_giant_defect,defect_size_class
0,images/1.png,0,crack,1,27.0,1.0,234.0,75.0,17550.0,4866.0,0,0,normal
1,images/2.png,0,crack,1,3.3887,142.963,284.0551,4.7081,1337.3595,1085.0,0,0,normal
3,images/4.png,0,crack,1,152.2919,57.8324,97.0,41.0,3977.0,526.0,0,0,normal
4,images/5.png,0,crack,1,129.7461,159.0529,130.0076,126.3196,16422.5131,717.0,0,0,normal
5,images/6.png,0,crack,1,180.6459,125.7703,12.0,81.0,972.0,349.0,0,0,normal
6,images/7.png,0,crack,1,195.9861,214.4359,63.3345,55.8563,3537.6296,330.0,0,0,normal
7,images/8.png,0,crack,1,224.3792,159.6656,33.9701,48.1322,1635.0551,344.0,0,0,normal
8,images/9.png,0,crack,1,226.255,243.2087,36.1644,36.667,1326.0386,181.0,0,0,normal
10,images/11.png,0,crack,1,245.1618,147.6925,16.7408,15.3448,256.8847,80.0,0,0,normal
10,images/11.png,1,crack,1,250.364,189.015,12.6554,15.4474,195.4931,70.0,0,0,normal
11,images/12.png,0,crack,1,120.2891,151.2389,140.1129,136.1865,19081.4877,1239.0,0,0,normal
12,images/13.png,0,crack,1,67.5741,106.6307,57.9974,39.0022,2262.0267,268.0,0,0,normal
13,images/14.png,0,crack,1,246.1374,76.5177,5.094,135.7624,691.579,407.0,0,0,normal
15,images/16.png,0,crack,1,166.4162,6.8757,7.0,216.0,1512.0,643.0,0,0,normal
16,images/17.jpg,0,crack,1,26.7129,0.7754,42.3908,39.1799,1660.8692,223.0,0,0,normal
17,images/18.jpg,0,crack,1,39.0,238.9378,205.0,9.0,1845.0,1000.0,0,0,normal
20,images/21.png,0,crack,1,75.3422,88.2498,20.5209,31.7852,652.2618,149.0,0,0,normal
21,images/22.png,0,crack,1,26.7046,107.6328,236.6161,180.3672,42677.7858,1933.0,0,0,normal
22,images/23.png,0,crack,1,31.8309,210.0,83.0436,78.0,6477.4013,3788.0,0,0,normal
23,images/24.png,0,crack,1,30.2165,34.5959,200.6626,240.9927,48358.2119,3988.0,0,0,normal
24,images/25.png,0,crack,1,31.6661,4.4825,220.1037,116.4493,25630.92,3236.0,0,0,normal
25,images/26.png,0,crack,1,69.7081,54.9378,140.0,67.0,9380.0,1426.0,0,0,normal
26,images/27.png,0,crack,1,43.3541,106.7081,203.0,16.0,3248.0,955.0,0,0,normal
27,images/28.png,0,crack,1,169.0491,113.8127,112.487,92.2931,10381.7723,691.0,0,0,normal
29,images/30.png,0,crack,1,73.0,123.0,138.0,14.0,1932.0,1199.0,0,0,normal
30,images/31.png,0,crack,1,200.6545,95.9147,55.5972,4.268,237.2874,217.0,0,0,normal
31,images/32.png,0,crack,1,262.7593,70.9545,6.5206,48.4015,315.6067,188.0,0,0,normal
32,images/33.png,0,crack,1,109.7081,63.9378,8.0,150.0,1200.0,592.0,0,0,normal
33,images/34.png,0,crack,1,226.0,113.0,54.0,7.0,378.0,258.0,0,0,normal
35,images/36.png,0,crack,1,115.4152,1.3759,10.5148,25.9487,272.8453,98.0,0,0,normal
36,images/37.png,0,crack,1,209.3193,7.3274,50.5038,50.1402,2532.2695,213.0,0,0,normal
