image_id,image_path,width,height,max_side,image_area,image_size_class,scale_bin,annotation_count,valid_annotation_count,invalid_bbox_count,tiny_defect_count,giant_defect_count,has_tiny_defect,has_giant_defect,min_bbox_area,max_bbox_area,mean_bbox_area,total_bbox_area,min_mask_area,max_mask_area,total_mask_area
0,images/1.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,17550.0,17550.0,17550.0,17550.0,4866.0,4866.0,4866.0
1,images/2.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1337.3595,1337.3595,1337.3595,1337.3595,1085.0,1085.0,1085.0
3,images/4.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,3977.0,3977.0,3977.0,3977.0,526.0,526.0,526.0
4,images/5.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,16422.5131,16422.5131,16422.5131,16422.5131,717.0,717.0,717.0
5,images/6.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,972.0,972.0,972.0,972.0,349.0,349.0,349.0
6,images/7.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,3537.6296,3537.6296,3537.6296,3537.6296,330.0,330.0,330.0
7,images/8.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1635.0551,1635.0551,1635.0551,1635.0551,344.0,344.0,344.0
8,images/9.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1326.0386,1326.0386,1326.0386,1326.0386,181.0,181.0,181.0
10,images/11.png,288,288,288,82944,regular,short,2,2,0,0,0,0,0,195.4931,256.8847,226.1889,452.3778,70.0,80.0,150.0
11,images/12.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,19081.4877,19081.4877,19081.4877,19081.4877,1239.0,1239.0,1239.0
12,images/13.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,2262.0267,2262.0267,2262.0267,2262.0267,268.0,268.0,268.0
13,images/14.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,691.579,691.579,691.579,691.579,407.0,407.0,407.0
15,images/16.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1512.0,1512.0,1512.0,1512.0,643.0,643.0,643.0
16,images/17.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1660.8692,1660.8692,1660.8692,1660.8692,223.0,223.0,223.0
17,images/18.jpg,288,288,288,82944,regular,short,1,1,0,0,0,0,0,1845.0,1845.0,1845.0,1845.0,1000.0,1000.0,1000.0
20,images/21.png,304,304,304,92416,regular,short,1,1,0,0,0,0,0,652.2618,652.2618,652.2618,652.2618,149.0,149.0,149.0
21,images/22.png,288,288,288,82944,regular,short,1,1,0,0,0,0,0,42677.7858,42677.7858,42677.7858,42677.7858,1933.0,1933.0,1933.0
